gt_value,prediction,error,absolute_error,relative_error,absolute_relative_error,relative_error_percent,absolute_relative_error_percent
590850,562774.902290673,-28075.097709327005,28075.097709327005,-0.04751645546133029,0.04751645546133029,-4.751645546133029,4.751645546133029
550450,457908.7485299404,-92541.25147005962,92541.25147005962,-0.16811926872569646,0.16811926872569646,-16.811926872569646,16.811926872569646
1188000,1247186.901972997,59186.901972997,59186.901972997,0.049820624556394785,0.049820624556394785,4.982062455639478,4.982062455639478
331650,308468.45963395195,-23181.54036604805,23181.54036604805,-0.06989760399833575,0.06989760399833575,-6.989760399833575,6.989760399833575
1138500,1138028.996315916,-471.00368408393115,471.00368408393115,-0.00041370547569954426,0.00041370547569954426,-0.041370547569954425,0.041370547569954425
613800,651770.1051514364,37970.10515143641,37970.10515143641,0.06186071220501207,0.06186071220501207,6.186071220501207,6.186071220501207
475200,455754.1750695942,-19445.824930405826,19445.824930405826,-0.04092134875927152,0.04092134875927152,-4.092134875927152,4.092134875927152
646400,669304.7840737219,22904.78407372185,22904.78407372185,0.0354343813021687,0.0354343813021687,3.5434381302168703,3.5434381302168703
252500,284040.761116641,31540.76111664099,31540.76111664099,0.12491390541243957,0.12491390541243957,12.491390541243957,12.491390541243957
504900,515194.8070594438,10294.807059443789,10294.807059443789,0.020389794136351336,0.020389794136351336,2.0389794136351336,2.0389794136351336
495000,541779.4539533242,46779.453953324235,46779.453953324235,0.094503947380453,0.094503947380453,9.450394738045299,9.450394738045299
388850,379761.5152744939,-9088.484725506103,9088.484725506103,-0.023372726566815234,0.023372726566815234,-2.3372726566815234,2.3372726566815234
545400,474573.60417966655,-70826.39582033345,70826.39582033345,-0.1298613784751255,0.1298613784751255,-12.98613784751255,12.98613784751255
866250,679683.8850716678,-186566.11492833216,186566.11492833216,-0.2153721384454051,0.2153721384454051,-21.53721384454051,21.53721384454051
1969500,2207699.5,238199.5,238199.5,0.12094414826097995,0.12094414826097995,12.094414826097994,12.094414826097994
455400,412265.1683778817,-43134.831622118305,43134.831622118305,-0.09471855867834499,0.09471855867834499,-9.471855867834499,9.471855867834499
403920,428574.15969841724,24654.159698417236,24654.159698417236,0.06103723434941879,0.06103723434941879,6.1037234349418785,6.1037234349418785
1089000,1261642.0302307203,172642.0302307203,172642.0302307203,0.15853262647449062,0.15853262647449062,15.853262647449062,15.853262647449062
282800,306118.9958533772,23318.995853377215,23318.995853377215,0.08245755252255027,0.08245755252255027,8.245755252255027,8.245755252255027
643500,776210.8166970878,132710.81669708784,132710.81669708784,0.2062328153800899,0.2062328153800899,20.62328153800899,20.62328153800899
504900,516647.7528057897,11747.7528057897,11747.7528057897,0.023267484265774806,0.023267484265774806,2.3267484265774807,2.3267484265774807
